SIT_ID,Made,BLOWN,Attempts,SuccessRate
90301.00,748,6,754,99.2042
90201.00,929,26,955,97.2775
100101.00,57,2,59,96.6102
100201.00,25,1,26,96.1538
90101.00,936,47,983,95.2187
82321.33,17,1,18,94.4444
90311.00,16,1,17,94.1176
82221.33,22,2,24,91.6667
81221.67,8,1,9,88.8889
82111.33,31,4,35,88.5714
82121.33,21,3,24,87.5000
110101.00,25,4,29,86.2069
120101.00,12,2,14,85.7143
81211.67,5,1,6,83.3333
81321.67,4,1,5,80.0000
82101.33,8,2,10,80.0000
81121.67,6,2,8,75.0000
90321.00,3,1,4,75.0000
82231.33,3,1,4,75.0000
81111.67,13,5,18,72.2222
81201.67,2,1,3,66.6667
90111.00,6,3,9,66.6667
72112.33,1,1,2,50.0000
90431.00,1,1,2,50.0000
80202.00,5,6,11,45.4545
60104.00,1,2,3,33.3333
80122.00,1,2,3,33.3333
80102.00,5,12,17,29.4118
80112.00,1,3,4,25.0000
60102.00,1,6,7,14.2857
80201.00,1,11,12,8.3333
